slug,direction,entry_price,exit_price,shares,pnl_usd,pnl_pct,confidence,model_prob,hold_time_s,reason,sol_at_entry,sol_at_exit,ptb,ts
sol-updown-5m-1778496600,DOWN,0.4874,0.99,5.0,2.513,103.11858842839557,0.8906977054857148,0.1093022945142852,124.52700066566467,expiry_win,95.198349,95.190721,95.208358,1778496902.3800216
sol-updown-15m-1778496300,DOWN,0.5375,0.99,5.48,2.4797000000000002,84.18604651162791,0.9216050537845606,0.07839494621543945,356.89229106903076,sell_099_win,95.204501,95.066014,95.214,1778497122.485438
sol-updown-5m-1778497200,UP,0.5284,0.99,5.48,2.5295680000000003,87.35806207418622,0.8896229575942605,0.8896229575942605,167.194237947464,sell_099_win,95.053327,95.099947,95.01,1778497506.677529
sol-updown-5m-1778497500,DOWN,0.5474,0.99,5.38,2.381188,80.85495067592254,0.8581484042702183,0.14185159572978168,147.7901041507721,expiry_win,95.057469,95.04,95.0705,1778497800.2829084
sol-updown-15m-1778497200,UP,0.5574,0.99,5.0,2.163,77.61033369214209,0.8533193391735491,0.8533193391735491,585.8588094711304,expiry_win,95.070215,95.011546,95.01,1778498104.0174599
sol-updown-5m-1778498400,DOWN,0.4774,0.99,6.06,3.1063559999999995,107.37327188940091,0.8501279311192509,0.14987206888074914,202.86730408668518,sell_099_win,95.2145,95.17,95.206645,1778498706.420042
sol-updown-5m-1778498700,UP,0.4092,0.0,6.63,-2.712996,-100.0,0.8777117651229449,0.8777117651229449,68.96181154251099,expiry_loss,95.18,95.181,95.20681,1778499003.0331712
sol-updown-5m-1778499600,DOWN,0.52,0.99,5.36,2.5192,90.38461538461537,0.9126389294713251,0.08736107052867488,158.5181086063385,expiry_win,95.432602,95.314501,95.442706,1778499902.9223762
sol-updown-5m-1778499900,DOWN,0.5375,0.99,5.17,2.339425,84.18604651162791,0.9202390218657035,0.07976097813429653,142.6483097076416,expiry_win,95.303927,95.18633,95.312841,1778500200.4069357
sol-updown-5m-1778500200,UP,0.2889,0.99,9.83,6.891813000000001,242.67912772585674,0.8645864452545321,0.8645864452545321,79.94258236885071,expiry_win,95.151495,95.169623,95.14,1778500508.3036923
sol-updown-5m-1778500800,UP,0.2838,0.0,8.14,-2.3101320000000003,-100.0,0.9273684083155894,0.9273684083155894,75.1676721572876,expiry_loss,95.31,95.06,95.245501,1778501102.9165652
sol-updown-5m-1778502600,UP,0.4472,0.0,6.48,-2.897856,-100.0,0.9020759446541233,0.9020759446541233,60.4249804019928,expiry_loss,95.191508,95.12,95.1845,1778502904.4249437
