iter	Logloss
0	0.6852455412
1	0.6767282329
2	0.6691712673
3	0.6609123093
4	0.653320005
5	0.6467178736
6	0.6387995041
7	0.6333311762
8	0.6265911672
9	0.6202294598
10	0.6138320976
11	0.6088380981
12	0.6042162407
13	0.5995063776
14	0.5939629797
15	0.5892384738
16	0.5853055992
17	0.5816942965
18	0.5771342897
19	0.5740900608
20	0.5706709334
21	0.5671419294
22	0.5631858087
23	0.5596230704
24	0.5558362379
25	0.5525590915
26	0.5498448914
27	0.5479463222
28	0.54604721
29	0.5433284963
30	0.5415304323
31	0.5398129165
32	0.538048826
33	0.5361892183
34	0.5339239837
35	0.5324806948
36	0.5308767187
37	0.5291697618
38	0.528059682
39	0.5263982121
40	0.5245852446
41	0.5230047227
42	0.5215487149
43	0.5206481455
44	0.5193962489
45	0.518275495
46	0.5170493533
47	0.5162192116
48	0.5147698035
49	0.5139213563
50	0.5130616771
51	0.5122078057
52	0.5115801837
53	0.5106379009
54	0.5097819873
55	0.5089815118
56	0.5081128342
57	0.507300411
58	0.5066522621
59	0.5057433282
60	0.5052048469
61	0.5046993733
62	0.5038541601
63	0.5032847227
64	0.5027899559
65	0.5021189544
66	0.5014043996
67	0.5009601722
68	0.5000311217
69	0.4993541204
70	0.4987044414
71	0.4981146412
72	0.4977530675
73	0.4974147648
74	0.4970097067
75	0.4965711761
76	0.4959483448
77	0.4951312217
78	0.4947145148
79	0.4943017324
80	0.4938325767
81	0.4932543726
82	0.4928506268
83	0.4925918019
84	0.4923280263
85	0.4919796839
86	0.4915318606
87	0.4910659524
88	0.4906167647
89	0.4899847684
90	0.4895555972
91	0.489346717
92	0.489018842
93	0.4885869702
94	0.4882121889
95	0.4877998276
96	0.4875400653
97	0.4872115736
98	0.4863428314
99	0.4860567522
100	0.4857833707
101	0.4854768253
102	0.4851743155
103	0.4847988924
104	0.4846353636
105	0.4842911018
106	0.4839897873
107	0.4837109435
108	0.4834906714
109	0.4829669773
110	0.4827142722
111	0.4821321499
112	0.4817561876
113	0.4814839443
114	0.4811678813
115	0.4807569681
116	0.4804936958
117	0.4803718617
118	0.4798026113
119	0.4794188305
120	0.478987569
121	0.4787517956
122	0.4783678252
123	0.4779596428
124	0.4778108554
125	0.4774868165
126	0.4771994054
127	0.4769263751
128	0.4765978518
129	0.4764045268
130	0.4761477839
131	0.4757831614
132	0.4755212721
133	0.4752221113
134	0.4749734118
135	0.4747543325
136	0.4745546654
137	0.4741984063
138	0.4738920422
139	0.4736212982
140	0.4733693438
141	0.4730591041
142	0.4727329565
143	0.4725172617
144	0.4722350648
145	0.4719718862
146	0.4717577434
147	0.4714668448
148	0.4712542771
149	0.4706501801
150	0.4703382767
151	0.4700906425
152	0.4697675829
153	0.4695432196
154	0.4690121166
155	0.4686684109
156	0.4685310897
157	0.4683020089
158	0.4681341351
159	0.4678424965
160	0.4675619598
161	0.4673645001
162	0.4671920164
163	0.4668445882
164	0.4665785045
165	0.4663888667
166	0.4661688372
167	0.46588089
168	0.4653431972
169	0.4651289679
170	0.4650119458
171	0.4648378146
172	0.4645426253
173	0.4642873939
174	0.4639262745
175	0.4637738835
176	0.4636303596
177	0.4633443352
178	0.4630712827
179	0.46281116
180	0.4625036029
181	0.4622299233
182	0.4619952175
183	0.4616890198
184	0.4614190737
185	0.4611743154
186	0.460814656
187	0.4605551492
188	0.4603280143
189	0.4599526694
190	0.4597981849
191	0.459526879
192	0.4592936698
193	0.4589431637
194	0.4587412731
