slug,direction,entry_price,exit_price,shares,pnl_usd,pnl_pct,confidence,model_prob,hold_time_s,reason,sol_at_entry,sol_at_exit,ptb,ts
sol-updown-5m-1778396400,UP,0.53,0.99,5.38,2.4747999999999997,86.79245283018867,0.9451863804397176,0.945822229923353,135.59629106521606,expiry_win,93.506065,93.499,93.396485,1778396700.8557155
sol-updown-5m-1778396700,DOWN,0.52,0.99,5.48,2.5756,90.38461538461537,0.7225095191359214,0.23345112925524164,96.62228226661682,expiry_win,93.465537,93.472531,93.49301,1778397000.299696
sol-updown-15m-1778396400,UP,0.51,0.0,5.59,-2.8508999999999998,-100.0,0.8381255380439757,0.8100471712944886,411.65330743789673,expiry_loss,93.478,93.33,93.396485,1778397309.8303905
sol-updown-5m-1778397000,DOWN,0.52,0.99,5.48,2.5756,90.38461538461537,0.7652710780757861,0.06267112351323223,127.76162600517273,expiry_win,93.4,93.385015,93.473659,1778397314.9508085
sol-updown-5m-1778397300,UP,0.49,0.99,5.82,2.91,102.04081632653062,0.9478108017316416,0.9498925052682132,131.38786816596985,expiry_win,93.456,93.42,93.367501,1778397601.198562
